namespace,pod,container,restarts,oom_killed,exit_code
gsm-52,msc-test-stub-5b875d749d-qrhzf,msc-test-stub,0,false,
gsm-52,osmo-bsc-594654bd47-dvzzz,osmo-bsc,0,false,
gsm-52,osmo-bts-virtual-5f8b9b86fc-r5jvk,osmo-bts-virtual,0,false,
gsm-52,osmo-hlr-546bdb8988-h28vb,osmo-hlr,0,false,
gsm-52,osmo-mgw-8c8fc67d6-f9rjd,osmo-mgw,0,false,
gsm-52,osmo-mobile-6bb7db7769-tplbv,mobile,0,false,
gsm-52,osmo-stp-768687f494-zd4zt,osmo-stp,0,false,
gsm-52,ttcn3-tc-26-8-1-2-1-1-1-hcb8w,ttcn3,0,false,
gsm-52,virtphy-6fdb47c894-cvwfm,virtphy,0,false,
