namespace,phase,unix_ts
gsm-8,t0,1782976555.022327885
gsm-8,t_apply,1782976556.082461442
gsm-8,t_ready,1782976599.761187046
gsm-8,t_attached,1782976600.978515031
gsm-8,t_test0,1782976600.980068667
gsm-8,t_testN,1782976743.599222697
gsm-8,t_teardown,1782976799.690330718
