namespace,phase,unix_ts
gsm-1,t0,1782985933.493774999
gsm-1,t_apply,1782985934.328899786
gsm-1,t_ready,1782985971.470756010
gsm-1,t_attached,1782985972.663545652
gsm-1,t_test0,1782985972.665305948
gsm-1,t_testN,1782986096.151472890
gsm-1,t_teardown,1782986154.989225290
gsm-2,t0,1782985933.494727345
gsm-2,t_apply,1782985934.403384572
gsm-2,t_ready,1782985976.779288206
gsm-2,t_attached,1782985980.799405299
gsm-2,t_test0,1782985980.812591048
gsm-2,t_testN,1782986077.443875611
gsm-2,t_teardown,1782986132.330789695
gsm-3,t0,1782985933.497120081
gsm-3,t_apply,1782985934.472970612
gsm-3,t_ready,1782985976.773795935
gsm-3,t_attached,1782985977.734553706
gsm-3,t_test0,1782985977.735891362
gsm-3,t_testN,1782986100.102431539
gsm-3,t_teardown,1782986160.873660399
gsm-4,t0,1782985933.498962760
gsm-4,t_apply,1782985934.250291197
gsm-4,t_ready,1782985971.485874499
gsm-4,t_attached,1782985972.661528745
gsm-4,t_test0,1782985972.662954047
gsm-4,t_testN,1782986122.441235044
gsm-4,t_teardown,1782986177.216611203
gsm-5,t0,1782985933.499799144
gsm-5,t_apply,1782985934.553125803
gsm-5,t_ready,1782985982.003113356
gsm-5,t_attached,1782985990.675723892
gsm-5,t_test0,1782985990.677424675
gsm-5,t_testN,1782986146.075741602
gsm-5,t_teardown,1782986201.155991633
gsm-6,t0,1782985933.499532140
gsm-6,t_apply,1782985934.578607094
gsm-6,t_ready,1782985982.005175508
gsm-6,t_attached,1782985983.527402062
gsm-6,t_test0,1782985983.530218106
gsm-6,t_testN,1782986079.527937765
gsm-6,t_teardown,1782986139.988302427
gsm-7,t0,1782985933.500494443
gsm-7,t_apply,1782985934.504864302
gsm-7,t_ready,1782985981.999491432
gsm-7,t_attached,1782985983.532701252
gsm-7,t_test0,1782985983.535599568
gsm-7,t_testN,1782986124.102094448
gsm-7,t_teardown,1782986184.693429585
gsm-8,t0,1782985933.502890818
gsm-8,t_apply,1782985934.363710190
gsm-8,t_ready,1782985971.465789212
gsm-8,t_attached,1782985975.796018807
gsm-8,t_test0,1782985975.799112665
gsm-8,t_testN,1782986096.159043624
gsm-8,t_teardown,1782986159.116190437
