namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-8rnt5,msc-test-stub,1,false,137
gsm-1,osmo-bsc-594654bd47-mqxpc,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-zdlbp,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-hm92s,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-m82tg,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-k4clr,mobile,0,false,
gsm-1,osmo-stp-768687f494-vv6b7,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-1-1-1-xf4bm,ttcn3,0,false,
gsm-1,virtphy-858665df6d-jrbg5,virtphy,0,false,
