namespace,phase,unix_ts
gsm-2,t0,1780655002.531017579
gsm-2,t_apply,1780655005.057311359
gsm-2,t_ready,1780655041.958183640
gsm-2,t_attached,1780655042.239452800
gsm-2,t_test0,1780655042.240559734
gsm-2,t_testN,1780655380.621698800
gsm-2,t_teardown,1780655430.984860956
