namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-fd259,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-5w4nd,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-z2cfm,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-lwl8b,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-tfz6l,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-gxwnq,mobile,0,false,
gsm-1,osmo-stp-768687f494-776x7,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-7-4-1-1-49pvk,ttcn3,0,false,
gsm-1,virtphy-858665df6d-rvtpq,virtphy,0,false,
