namespace,phase,unix_ts
gsm-16,t0,1781686352.932765383
gsm-16,t_apply,1781686354.402410757
gsm-16,t_ready,1781686401.540129067
gsm-16,t_attached,1781686454.202864108
gsm-16,t_test0,1781686454.204254631
gsm-16,t_testN,1781687446.162175969
gsm-16,t_teardown,1781687501.202904191
