namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-6svck,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-rzkdk,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-5cc9v,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-fj5mw,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-x2pk8,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-vnq77,mobile,0,false,
gsm-1,osmo-stp-768687f494-v4vjs,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-8-1-3-3-1-1-jmmsz,ttcn3,0,false,
gsm-1,virtphy-858665df6d-4gh4z,virtphy,0,false,
