namespace,pod,container,restarts,oom_killed,exit_code
gsm-45,msc-test-stub-5b875d749d-vdcpn,msc-test-stub,0,false,
gsm-45,osmo-bsc-594654bd47-bkrlq,osmo-bsc,0,false,
gsm-45,osmo-bts-virtual-5f8b9b86fc-22vp4,osmo-bts-virtual,0,false,
gsm-45,osmo-hlr-546bdb8988-8xwtp,osmo-hlr,0,false,
gsm-45,osmo-mgw-8c8fc67d6-wx8gc,osmo-mgw,0,false,
gsm-45,osmo-mobile-7d9d7fb67c-wd2bc,mobile,0,false,
gsm-45,osmo-stp-768687f494-6jx5g,osmo-stp,0,false,
gsm-45,ttcn3-tc-26-7-4-4-1-52x2b,ttcn3,0,false,
gsm-45,virtphy-866b6c4b78-8knck,virtphy,0,false,
