namespace,pod,container,restarts,oom_killed,exit_code
gsm-7,msc-test-stub-589b74d577-8tnzc,msc-test-stub,2,false,0
gsm-7,osmo-bsc-594654bd47-rhmpz,osmo-bsc,0,false,
gsm-7,osmo-bts-virtual-5f8b9b86fc-2bpgd,osmo-bts-virtual,0,false,
gsm-7,osmo-hlr-76d9565554-4hxqd,osmo-hlr,0,false,
gsm-7,osmo-mgw-8c8fc67d6-8xr2w,osmo-mgw,0,false,
gsm-7,osmo-mobile-6865667c79-rgds2,mobile,0,false,
gsm-7,osmo-stp-768687f494-5gs6s,osmo-stp,0,false,
gsm-7,ttcn3-tc-26-2-3-1-lhxjl,ttcn3,0,false,
gsm-7,virtphy-bcfd4578-kpklk,virtphy,0,false,
