namespace,phase,unix_ts
gsm-s3,t0,1781242512.349128411
gsm-s3,t_apply,1781242513.496113950
gsm-s3,t_ready,1781242549.893369706
gsm-s3,t_attached,1781242550.187582120
gsm-s3,t_test0,1781242550.188927673
gsm-s3,t_testN,1781242674.530997568
gsm-s3,t_teardown,1781242727.856839569
