namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-mt9vk,msc-test-stub,1,false,137
gsm-1,osmo-bsc-594654bd47-jqbpk,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-9w689,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-8hmp7,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-4hfpz,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-qphwn,mobile,0,false,
gsm-1,osmo-stp-768687f494-wsgw4,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-1-1-1-ppg8t,ttcn3,0,false,
gsm-1,virtphy-858665df6d-7g6dv,virtphy,0,false,
