namespace,phase,unix_ts
tc-26-6-2-3-1-2,t0,1782212122.148645284
tc-26-6-2-3-1-2,t_apply,1782212123.464626659
tc-26-6-2-3-1-2,t_ready,1782212162.396575543
tc-26-6-2-3-1-2,t_attached,1782212166.428148711
tc-26-6-2-3-1-2,t_test0,1782212166.429849162
tc-26-6-2-3-1-2,t_testN,1782212389.703245149
tc-26-6-2-3-1-2,t_teardown,1782212442.808194552
