namespace,phase,unix_ts
gsm-1,t0,1780850305.576602772
gsm-1,t_apply,1780850308.497657350
gsm-1,t_ready,1780850345.661553905
gsm-1,t_attached,1780850345.958874819
gsm-1,t_test0,1780850345.960074918
gsm-1,t_testN,1780850565.116355538
gsm-1,t_teardown,1780850617.536025065
gsm-2,t0,1780850305.577403447
gsm-2,t_apply,1780850308.398573049
gsm-2,t_ready,1780850345.661356804
gsm-2,t_attached,1780850345.958468874
gsm-2,t_test0,1780850345.959698728
gsm-2,t_testN,1780850549.098022731
gsm-2,t_teardown,1780850607.988250844
gsm-3,t0,1780850305.578405711
gsm-3,t_apply,1780850308.719049492
gsm-3,t_ready,1780850345.653476776
gsm-3,t_attached,1780850345.959911850
gsm-3,t_test0,1780850345.961597858
gsm-3,t_testN,1780850549.097915727
gsm-3,t_teardown,1780850609.552886805
gsm-4,t0,1780850305.581315009
gsm-4,t_apply,1780850308.393561273
gsm-4,t_ready,1780850340.464426671
gsm-4,t_attached,1780850341.164354534
gsm-4,t_test0,1780850341.166025513
gsm-4,t_testN,1780850547.924808495
gsm-4,t_teardown,1780850607.115412124
