namespace,phase,unix_ts
gsm-1,t0,1781593794.095468297
gsm-1,t_apply,1781593795.270947386
gsm-1,t_ready,1781593847.222322295
gsm-1,t_attached,1781593848.668499182
gsm-1,t_test0,1781593848.670049726
gsm-1,t_testN,1781594260.771317106
gsm-1,t_teardown,1781594314.396753223
gsm-2,t0,1781593794.098887829
gsm-2,t_apply,1781593795.185909468
gsm-2,t_ready,1781593847.224511870
gsm-2,t_attached,1781593848.666140634
gsm-2,t_test0,1781593848.667685300
gsm-2,t_testN,1781594045.605665548
gsm-2,t_teardown,1781594095.528273019
gsm-3,t0,1781593794.100383592
gsm-3,t_apply,1781593795.226837632
gsm-3,t_ready,1781593842.083124456
gsm-3,t_attached,1781593853.291913847
gsm-3,t_test0,1781593853.294143008
gsm-3,t_testN,1781593946.462894241
gsm-3,t_teardown,1781594005.021811956
gsm-4,t0,1781593794.100568317
gsm-4,t_apply,1781593795.089455862
gsm-4,t_ready,1781593831.081634591
gsm-4,t_attached,1781593843.209466928
gsm-4,t_test0,1781593843.247811661
gsm-4,t_testN,1781593940.561311372
gsm-4,t_teardown,1781593993.085208400
gsm-5,t0,1781593794.105791721
gsm-5,t_apply,1781593795.125211183
gsm-5,t_ready,1781593836.949225715
gsm-5,t_attached,1781593838.526867616
gsm-5,t_test0,1781593838.528269690
gsm-5,t_testN,1781594038.486021444
gsm-5,t_teardown,1781594093.961657896
gsm-6,t0,1781593794.105063298
gsm-6,t_apply,1781593795.313391085
gsm-6,t_ready,1781593847.222652246
gsm-6,t_attached,1781593848.668186447
gsm-6,t_test0,1781593848.669751357
gsm-6,t_testN,1781593941.715380768
gsm-6,t_teardown,1781593999.212011634
gsm-7,t0,1781593794.105309725
gsm-7,t_apply,1781593795.023288516
gsm-7,t_ready,1781593831.098319600
gsm-7,t_attached,1781593843.202156413
gsm-7,t_test0,1781593843.247624393
gsm-7,t_testN,1781593965.722325561
gsm-7,t_teardown,1781594020.355857817
gsm-8,t0,1781593794.107478729
gsm-8,t_apply,1781593795.004419799
gsm-8,t_ready,1781593828.839182905
gsm-8,t_attached,1781593833.477784246
gsm-8,t_test0,1781593833.479552350
gsm-8,t_testN,1781594168.836638465
gsm-8,t_teardown,1781594221.978314326
