namespace,phase,unix_ts
gsm-1,t0,1780655995.650387955
gsm-1,t_apply,1780655998.633082469
gsm-1,t_ready,1780656031.397877289
gsm-1,t_attached,1780656031.815862695
gsm-1,t_test0,1780656031.818486066
gsm-1,t_testN,1780656235.078260543
gsm-1,t_teardown,1780656283.286488282
gsm-2,t0,1780655995.650841965
gsm-2,t_apply,1780655998.321952301
gsm-2,t_ready,1780656035.944988289
gsm-2,t_attached,1780656036.334362511
gsm-2,t_test0,1780656036.335619963
gsm-2,t_testN,1780656245.307408451
gsm-2,t_teardown,1780656309.007257626
gsm-3,t0,1780655995.651898817
gsm-3,t_apply,1780655998.326102361
gsm-3,t_ready,1780656035.944405688
gsm-3,t_attached,1780656036.335191754
gsm-3,t_test0,1780656036.336629971
gsm-3,t_testN,1780656245.305696807
gsm-3,t_teardown,1780656304.109179404
gsm-4,t0,1780655995.650499206
gsm-4,t_apply,1780655998.279873831
gsm-4,t_ready,1780656035.943937368
gsm-4,t_attached,1780656036.333948845
gsm-4,t_test0,1780656036.335228619
gsm-4,t_testN,1780656245.337935245
gsm-4,t_teardown,1780656307.983685819
