namespace,phase,unix_ts
gsm-57,t0,1782471810.171396076
gsm-57,t_apply,1782471811.383037268
gsm-57,t_ready,1782471848.759375823
gsm-57,t_attached,1782471869.636570151
gsm-57,t_test0,1782471869.640476908
gsm-57,t_testN,1782472042.841812780
gsm-57,t_teardown,1782472095.017848530
gsm-1,t0,1782469266.224511838
gsm-1,t_apply,1782469267.621544004
gsm-1,t_ready,1782469308.313422911
gsm-1,t_attached,1782469310.473944479
gsm-1,t_test0,1782469310.480025831
gsm-1,t_testN,1782469462.208003556
gsm-1,t_teardown,1782469572.224853235
gsm-25,t0,1782469956.242292900
gsm-25,t_apply,1782469957.772714878
gsm-25,t_ready,1782470006.350767040
gsm-25,t_attached,1782470022.325121948
gsm-25,t_test0,1782470022.339497880
gsm-25,t_testN,1782470061.823917584
gsm-25,t_teardown,1782470141.367856338
gsm-9,t0,1782469572.591591868
gsm-9,t_apply,1782469573.803603528
gsm-9,t_ready,1782469624.493419804
gsm-9,t_attached,1782469643.970963037
gsm-9,t_test0,1782469643.972559663
gsm-9,t_testN,1782469694.386951908
gsm-9,t_teardown,1782469767.058179469
gsm-17,t0,1782469767.968739080
gsm-17,t_apply,1782469769.423523268
gsm-17,t_ready,1782469823.287949900
gsm-17,t_attached,1782469841.134061557
gsm-17,t_test0,1782469841.135905061
gsm-17,t_testN,1782469867.027681131
gsm-17,t_teardown,1782469956.038847515
gsm-33,t0,1782470141.447863993
gsm-33,t_apply,1782470142.527851922
gsm-33,t_ready,1782470182.972202514
gsm-33,t_attached,1782470185.213183274
gsm-33,t_test0,1782470185.215604488
gsm-33,t_testN,1782470925.350887594
gsm-33,t_teardown,1782470983.569928040
gsm-41,t0,1782470983.652496827
gsm-41,t_apply,1782470984.360080499
gsm-41,t_ready,1782471023.097367076
gsm-41,t_attached,1782471024.356107310
gsm-41,t_test0,1782471024.358422070
gsm-41,t_testN,1782471096.116791068
gsm-41,t_teardown,1782471147.650643573
gsm-49,t0,1782471147.743003257
gsm-49,t_apply,1782471148.332398173
gsm-49,t_ready,1782471186.098353911
gsm-49,t_attached,1782471306.311482289
gsm-49,t_test0,1782471306.312809393
gsm-49,t_testN,1782471755.249380392
gsm-49,t_teardown,1782471810.081527122
gsm-58,t0,1782470992.731241577
gsm-58,t_apply,1782470993.325848987
gsm-58,t_ready,1782471033.852178876
gsm-58,t_attached,1782471037.856350713
gsm-58,t_test0,1782471037.857681151
gsm-58,t_testN,1782471049.348072370
gsm-58,t_teardown,1782471104.027529787
gsm-26,t0,1782470000.258758440
gsm-26,t_apply,1782470001.793736240
gsm-26,t_ready,1782470056.955913539
gsm-26,t_attached,1782470063.389544591
gsm-26,t_test0,1782470063.397241684
gsm-26,t_testN,1782470086.229223333
gsm-26,t_teardown,1782470147.489920723
gsm-2,t0,1782469266.252407984
gsm-2,t_apply,1782469267.897996669
gsm-2,t_ready,1782469317.688430418
gsm-2,t_attached,1782469319.880993715
gsm-2,t_test0,1782469319.883922754
gsm-2,t_testN,1782469455.206617737
gsm-2,t_teardown,1782469527.257151928
gsm-10,t0,1782469527.765348134
gsm-10,t_apply,1782469528.727173602
gsm-10,t_ready,1782469588.958922181
gsm-10,t_attached,1782469596.416880563
gsm-10,t_test0,1782469596.419744196
gsm-10,t_testN,1782469736.012623389
gsm-10,t_teardown,1782469821.114170822
gsm-18,t0,1782469821.304970676
gsm-18,t_apply,1782469822.591410487
gsm-18,t_ready,1782469879.694230798
gsm-18,t_attached,1782469889.329813300
gsm-18,t_test0,1782469889.332245109
gsm-18,t_testN,1782469920.421160791
gsm-18,t_teardown,1782470000.008318907
gsm-34,t0,1782470147.658205145
gsm-34,t_apply,1782470148.433283618
gsm-34,t_ready,1782470187.942909063
gsm-34,t_attached,1782470189.512884602
gsm-34,t_test0,1782470189.514723517
gsm-34,t_testN,1782470208.193303202
gsm-34,t_teardown,1782470261.101404730
gsm-42,t0,1782470261.185801599
gsm-42,t_apply,1782470262.575750616
gsm-42,t_ready,1782470303.964208913
gsm-42,t_attached,1782470304.848265947
gsm-42,t_test0,1782470304.849986182
gsm-42,t_testN,1782470820.108630304
gsm-42,t_teardown,1782470874.509800520
gsm-50,t0,1782470874.697270750
gsm-50,t_apply,1782470875.585627583
gsm-50,t_ready,1782470922.374173122
gsm-50,t_attached,1782470927.007482602
gsm-50,t_test0,1782470927.008977795
gsm-50,t_testN,1782470939.051044881
gsm-50,t_teardown,1782470992.644124062
gsm-27,t0,1782470046.896470685
gsm-27,t_apply,1782470048.888501393
gsm-27,t_ready,1782470101.045490852
gsm-27,t_attached,1782470105.566958518
gsm-27,t_test0,1782470105.568448773
gsm-27,t_testN,1782470116.253414506
gsm-27,t_teardown,1782470178.642285881
gsm-3,t0,1782469266.230780083
gsm-3,t_apply,1782469267.594498047
gsm-3,t_ready,1782469308.527965784
gsm-3,t_attached,1782469334.217237751
gsm-3,t_test0,1782469334.218870290
gsm-3,t_testN,1782469527.295480403
gsm-3,t_teardown,1782469615.249279353
gsm-11,t0,1782469615.443353601
gsm-11,t_apply,1782469616.903761151
gsm-11,t_ready,1782469684.942565370
gsm-11,t_attached,1782469696.816514850
gsm-11,t_test0,1782469696.818504832
gsm-11,t_testN,1782469728.831040499
gsm-11,t_teardown,1782469814.272663723
gsm-19,t0,1782469814.543305892
gsm-19,t_apply,1782469815.669112177
gsm-19,t_ready,1782469875.129116513
gsm-19,t_attached,1782469909.073919696
gsm-19,t_test0,1782469909.080101399
gsm-19,t_testN,1782469940.685328708
gsm-19,t_teardown,1782470046.426543922
