namespace,phase,unix_ts
gsm-par-1,t0,1780039033.066346229
gsm-par-1,t_apply,1780039041.433505771
gsm-par-1,t_ready,1780039079.432867351
gsm-par-1,t_attached,1780039080.312668177
gsm-par-1,t_test0,1780039080.313896822
gsm-par-1,t_testN,1780039185.278730510
gsm-par-1,t_teardown,1780039237.564058311
